Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
539448,INDIGO,A,1774.00,1799.30,1771.30,1792.35,30810,549.62,1912
532468,KAMAHOLD,B,13160.00,13163.80,12621.00,13115.85,4214,548.58,214
532505,UCOBANK,A,14.71,14.87,14.35,14.54,3755348,548.41,3717
532218,SOUTHBANK,A,14.15,14.26,13.81,13.94,3922457,548.12,5384
530007,JKTYRE,A,171.05,181.90,171.05,174.85,307230,545.16,4838
500331,PIDILITIND,A,2739.95,2739.95,2641.00,2675.00,20112,534.49,921
512070,UPL,A,772.05,779.75,764.40,770.45,68980,530.09,1136
524404,MARKSANS*,A,52.30,54.75,52.30,53.25,976891,526.24,4845
532424,GODREJCP,A,844.00,850.90,835.00,848.50,62036,523.00,1975
542011,GRSE,A,460.00,499.00,452.00,484.10,109997,522.90,2728
532762,ACE,A,347.25,348.15,328.15,332.50,156669,522.73,4214
500850,INDHOTEL,A,316.95,316.95,308.95,312.05,166331,519.45,4105
533098,NHPC,A,43.95,44.15,42.70,42.95,1196526,519.20,4896
543272,EASEMYTRIP,A,402.75,405.05,396.10,399.10,129614,517.50,3455
500680,PFIZER,A,4498.95,4529.00,4479.05,4517.10,11409,515.64,508
532022,FILATFASH,XT,23.25,23.25,22.00,23.25,2214285,511.88,2735
500038,BALRAMCHIN,A,341.00,348.00,337.00,347.20,147680,508.15,5709
500800,TATACONSUM,A,762.05,773.55,762.05,772.85,66281,507.65,1179
533269,WABAG,A,298.00,309.95,294.25,301.30,166390,506.68,6493
505537,ZEEL,A,257.50,262.00,257.50,260.00,194303,505.76,1695
543330,DEVYANI,A,175.60,182.55,175.60,182.20,277970,501.17,4342
500547,BPCL,A,307.00,309.50,305.65,308.80,162797,500.07,2599
526642,MIRZAINT,B,267.00,279.75,259.25,273.70,186843,499.49,5728
500085,CHAMBLFERT,A,293.10,296.00,290.10,295.00,170372,498.29,3247
532843,FORTIS,A,299.70,308.55,299.70,303.35,163425,494.37,4493
500257,LUPIN,A,759.50,762.85,748.50,753.30,65420,492.75,2439
533155,JUBLFOOD,A,563.00,564.10,557.35,560.95,87465,490.26,2877
505714,GABRIEL,A,164.45,179.40,164.20,178.15,275223,483.76,6677
539874,UJJIVAN,A,273.00,295.35,273.00,292.85,166176,481.62,4744
500188,HINDZINC,A,310.40,314.80,309.75,314.15,153993,480.59,4130
543300,SONACOMS,A,455.35,457.00,445.60,448.75,106389,479.37,7740
500493,BHARATFORG,A,842.00,859.00,840.00,853.25,56447,478.36,1797
532497,RADICO,A,970.00,982.65,931.60,977.95,49920,477.31,5283
534091,MCX,A,1501.15,1564.00,1501.15,1539.15,31040,476.27,1700
530005,INDIACEM,A,249.95,254.45,246.55,249.30,189858,475.48,2408
500033,FORCEMOT,A,1468.75,1590.00,1448.95,1562.55,30453,466.13,3358
539524,LALPATHLAB,A,2508.95,2508.95,2389.65,2478.70,18998,465.20,2610
532827,PAGEIND,A,46700.00,47050.40,46050.05,46663.80,996,462.61,282
532652,KTKBANK,A,131.25,133.75,129.55,131.60,350491,461.18,3499
500330,RAYMOND,A,1291.60,1335.00,1281.30,1292.80,35209,459.78,3290
515147,HALDYNGL,X,72.25,73.95,69.45,71.60,640111,459.31,2549
590003,KARURVYSYA,B,100.50,103.20,100.50,101.60,450261,458.99,3685
500550,SIEMENS,A,2929.90,2929.90,2845.65,2850.20,15885,457.45,1137
526299,MPHASIS,A,2026.00,2049.80,1988.60,2013.35,22699,456.54,2403
523642,PIIND,A,3424.95,3467.15,3385.20,3427.30,13245,452.49,1311
541233,LEMONTREE,A,90.05,91.45,88.00,90.95,501957,452.36,4566
532884,REFEX,B,214.05,234.00,214.05,234.00,193972,449.42,1179
532636,IIFL,A,423.00,428.90,414.25,421.75,106433,448.88,3596
532947,IRB,A,242.50,261.50,242.50,255.85,173333,444.63,3496
532541,COFORGE,A,4024.00,4039.05,3911.30,3970.85,11196,444.25,2250
516072,VISHNU,B,1415.55,1551.30,1407.00,1551.30,28907,439.49,2623
532467,HAZOOR,XT,97.05,97.05,97.05,97.05,449183,435.93,546
532977,BAJAJ-AUTO,A,3714.65,3788.00,3714.65,3763.65,11565,435.51,1345
542655,VIKASLIFE,B,4.85,4.89,4.85,4.85,8633927,419.68,1499
541556,RITES,A,364.25,377.80,361.25,376.00,113627,419.42,3464
